ChurnProbability,PredictedChurn,RiskLevel
0.02,0,Low Risk
0.1,0,Low Risk
0.02,0,Low Risk
0.02,0,Low Risk
0.09,0,Low Risk
0.21,0,Low Risk
0.03,0,Low Risk
0.16,0,Low Risk
0.49,1,Medium Risk
0.04,0,Low Risk
0.64,1,High Risk
0.31,0,Medium Risk
0.01,0,Low Risk
0.05,0,Low Risk
0.16,0,Low Risk
0.01,0,Low Risk
0.05,0,Low Risk
0.19,0,Low Risk
0.65,1,High Risk
0.34,0,Medium Risk
0.7,1,High Risk
0.02,0,Low Risk
0.06,0,Low Risk
0.29,0,Medium Risk
0.08,0,Low Risk
0.19,0,Low Risk
0.06,0,Low Risk
0.05,0,Low Risk
0.26,0,Medium Risk
0.2,0,Low Risk
0.11,0,Low Risk
0.71,1,High Risk
0.5,1,High Risk
0.01,0,Low Risk
0.49,1,Medium Risk
0.03,0,Low Risk
0.03,0,Low Risk
0.05,0,Low Risk
0.15,0,Low Risk
0.44,1,Medium Risk
0.04,0,Low Risk
0.04,0,Low Risk
0.27,0,Medium Risk
0.05,0,Low Risk
0.01,0,Low Risk
0.11,0,Low Risk
0.19,0,Low Risk
0.77,1,Critical Risk
0.06,0,Low Risk
0.87,1,Critical Risk
0.33,0,Medium Risk
0.38,1,Medium Risk
0.03,0,Low Risk
0.01,0,Low Risk
0.43,1,Medium Risk
0.24,0,Low Risk
0.14,0,Low Risk
0.09,0,Low Risk
0.13,0,Low Risk
0.0,0,Low Risk
0.01,0,Low Risk
0.0,0,Low Risk
0.45,1,Medium Risk
0.1,0,Low Risk
0.01,0,Low Risk
0.03,0,Low Risk
0.03,0,Low Risk
0.07,0,Low Risk
0.01,0,Low Risk
0.03,0,Low Risk
0.05,0,Low Risk
0.89,1,Critical Risk
0.14,0,Low Risk
0.18,0,Low Risk
0.96,1,Critical Risk
0.12,0,Low Risk
0.14,0,Low Risk
0.14,0,Low Risk
0.1,0,Low Risk
0.52,1,High Risk
0.08,0,Low Risk
0.18,0,Low Risk
0.02,0,Low Risk
0.13,0,Low Risk
0.12,0,Low Risk
0.0,0,Low Risk
0.27,0,Medium Risk
0.38,1,Medium Risk
0.05,0,Low Risk
0.21,0,Low Risk
0.07,0,Low Risk
0.01,0,Low Risk
0.32,0,Medium Risk
0.14,0,Low Risk
0.91,1,Critical Risk
0.11,0,Low Risk
0.07,0,Low Risk
0.03,0,Low Risk
0.02,0,Low Risk
0.01,0,Low Risk
0.38,1,Medium Risk
0.07,0,Low Risk
0.02,0,Low Risk
0.18,0,Low Risk
0.12,0,Low Risk
0.12,0,Low Risk
0.17,0,Low Risk
0.04,0,Low Risk
0.02,0,Low Risk
0.06,0,Low Risk
0.07,0,Low Risk
0.29,0,Medium Risk
0.11,0,Low Risk
0.21,0,Low Risk
0.02,0,Low Risk
0.29,0,Medium Risk
0.02,0,Low Risk
0.0,0,Low Risk
0.43,1,Medium Risk
0.04,0,Low Risk
0.18,0,Low Risk
0.29,0,Medium Risk
0.01,0,Low Risk
0.15,0,Low Risk
0.02,0,Low Risk
0.07,0,Low Risk
0.35,1,Medium Risk
0.1,0,Low Risk
0.25,0,Medium Risk
0.01,0,Low Risk
0.3,0,Medium Risk
0.28,0,Medium Risk
0.01,0,Low Risk
0.21,0,Low Risk
0.23,0,Low Risk
0.12,0,Low Risk
0.24,0,Low Risk
0.09,0,Low Risk
0.0,0,Low Risk
0.09,0,Low Risk
0.09,0,Low Risk
0.14,0,Low Risk
0.14,0,Low Risk
0.01,0,Low Risk
0.04,0,Low Risk
0.04,0,Low Risk
0.0,0,Low Risk
0.23,0,Low Risk
0.02,0,Low Risk
0.06,0,Low Risk
0.17,0,Low Risk
0.19,0,Low Risk
0.22,0,Low Risk
0.04,0,Low Risk
0.2,0,Low Risk
0.0,0,Low Risk
0.01,0,Low Risk
0.67,1,High Risk
0.0,0,Low Risk
0.04,0,Low Risk
0.11,0,Low Risk
0.23,0,Low Risk
0.16,0,Low Risk
0.94,1,Critical Risk
0.41,1,Medium Risk
0.14,0,Low Risk
0.14,0,Low Risk
0.18,0,Low Risk
0.06,0,Low Risk
0.04,0,Low Risk
0.0,0,Low Risk
0.01,0,Low Risk
0.0,0,Low Risk
0.26,0,Medium Risk
0.09,0,Low Risk
0.04,0,Low Risk
0.01,0,Low Risk
0.01,0,Low Risk
0.2,0,Low Risk
0.46,1,Medium Risk
0.08,0,Low Risk
0.14,0,Low Risk
0.24,0,Low Risk
0.34,0,Medium Risk
0.23,0,Low Risk
0.08,0,Low Risk
0.27,0,Medium Risk
0.44,1,Medium Risk
0.13,0,Low Risk
0.27,0,Medium Risk
0.02,0,Low Risk
0.15,0,Low Risk
0.15,0,Low Risk
0.29,0,Medium Risk
0.03,0,Low Risk
0.07,0,Low Risk
0.03,0,Low Risk
0.06,0,Low Risk
0.03,0,Low Risk
0.16,0,Low Risk
0.12,0,Low Risk
0.21,0,Low Risk
0.17,0,Low Risk
0.03,0,Low Risk
0.11,0,Low Risk
0.11,0,Low Risk
0.08,0,Low Risk
0.29,0,Medium Risk
0.0,0,Low Risk
0.03,0,Low Risk
0.05,0,Low Risk
0.15,0,Low Risk
0.08,0,Low Risk
0.05,0,Low Risk
0.37,1,Medium Risk
0.63,1,High Risk
0.15,0,Low Risk
0.06,0,Low Risk
0.02,0,Low Risk
0.13,0,Low Risk
0.21,0,Low Risk
0.02,0,Low Risk
0.05,0,Low Risk
0.97,1,Critical Risk
0.03,0,Low Risk
0.09,0,Low Risk
0.03,0,Low Risk
0.04,0,Low Risk
0.03,0,Low Risk
0.54,1,High Risk
0.01,0,Low Risk
0.89,1,Critical Risk
0.98,1,Critical Risk
0.45,1,Medium Risk
0.0,0,Low Risk
0.24,0,Low Risk
0.05,0,Low Risk
0.11,0,Low Risk
0.28,0,Medium Risk
0.0,0,Low Risk
0.0,0,Low Risk
0.14,0,Low Risk
0.2,0,Low Risk
0.01,0,Low Risk
0.81,1,Critical Risk
0.0,0,Low Risk
0.09,0,Low Risk
